id,name,city,rating,rating_count,cost,cuisine,lic_no,link,address,menu
531342,Janta Sweet House,Abohar,4.4,50,200,"Sweets,Bakery",1.21E+13,https://www.swiggy.com/restaurants/janta-sweet-house-central-abohar-abohar-531342,"Janta Sweet House, Bazar No.9, Circullar Road, Abohar",Menu/531342.json
158203,theka coffee desi,Abohar,3.8,100,100,Beverages,2.21E+13,https://www.swiggy.com/restaurants/theka-coffee-desi-central-raipura-abohar-158203,"theka coffee desi, sahtiya sadan road city",Menu/158203.json
187912,Singh Hut,Abohar,3.7,20,250,"Fast Food,Indian",2.21E+13,https://www.swiggy.com/restaurants/singh-hut-nehru-park-main-bazar-abohar-187912,"Singh Hut, CIRCULAR ROAD NEAR NEHRU PARK ABOHAR",Menu/187912.json
158204,Sam Uncle,Abohar,3.6,20,200,Continental,2.21E+13,https://www.swiggy.com/restaurants/sam-uncle-central-main-bazar-abohar-158204,"Sam Uncle, hanumangarh road near raja bajaj showroom abohar",Menu/158204.json
156588,shere punjab veg,Abohar,4,100,150,North Indian,2.21E+13,https://www.swiggy.com/restaurants/shere-punjab-veg-central-krishna-nagri-abohar-156588,"shere punjab veg, major surinder chowk near verma sons petrol pump and lic building abohar",Menu/156588.json
156602,Hinglaj Kachori Bhandhar,Abohar,4.2,20,100,"Snacks,Chaat",2.21E+13,https://www.swiggy.com/restaurants/hinglaj-kachori-bhandhar-central-main-bazar-abohar-156602,"Hinglaj Kachori Bhandhar, street no 11 circular road ,Abohar",Menu/156602.json
156590,Sethi Milk Badam,Abohar,4.2,20,100,"Sweets,Desserts",2.21E+13,https://www.swiggy.com/restaurants/sethi-milk-badam-central-krishna-nagri-abohar-156590,"Sethi Milk Badam, main bazar street no 11 abohar",Menu/156590.json
156587,Bharawan Da Dhaba,Abohar,4.4,50,300,Indian,license,https://www.swiggy.com/restaurants/bharawan-da-dhaba-central-abohar-abohar-156587,"Bharawan Da Dhaba, rimpy bakery 12 circular road main bazar abohar",Menu/156587.json
394554,Roll Express,Abohar,4,20,200,Fast Food,2.21E+13,https://www.swiggy.com/restaurants/roll-express-central-abohar-abohar-394554,"Roll Express, Roll Express, Opposite Dr. Sarla Sethi Hospital, Near DAV College, Hanumangarh Road, Abohar",Menu/394554.json
530909,FOODY MOOD,Abohar,4.7,20,300,"Fast Food,Chinese",2.21E+13,https://www.swiggy.com/restaurants/foody-mood-central-abohar-abohar-530909,"FOODY MOOD, Arya nagar St no 7 Abohar, Abohar (M Cl),  Fazilka 1(Abohar), Fazilka, Punjab - 152116",Menu/530909.json
420675,Royal Chicken,Abohar,4.2,20,200,"Mughlai,North Indian",2.21E+13,https://www.swiggy.com/restaurants/royal-chicken-central-abohar-abohar-420675,"Royal Chicken, Near Naveen Sethi Hospital, Under Flyover, Abohar",Menu/420675.json
171675,Domino's Pizza,Abohar,4.4,20,400,Pizzas,1.21E+13,https://www.swiggy.com/restaurants/dominos-pizza-central-raipura-abohar-171675,"Domino's Pizza, ADAHeights,HanumangarhRoad,SunderNagari,Abohar,District,Fazilka",Menu/171675.json
351387,NIKKU VEG THALI,Abohar,4.1,100,150,North Indian,2.21E+13,https://www.swiggy.com/restaurants/nikku-veg-thali-central-old-suraj-nagari-abohar-351387,"NIKKU VEG THALI, College Road, Near Railway Line, Abohar",Menu/351387.json
461724,SUDESH FAST FOOD,Abohar,4,20,250,"Bakery,Chinese",license,https://www.swiggy.com/restaurants/sudesh-fast-food-central-abohar-abohar-461724,"SUDESH FAST FOOD, Shri Ganganagar Road, Near Tara  Estate, Fazilka 1(Abohar), Fazilka, ,  Punjab, 152116",Menu/461724.json
161405,Bihari da vaishno dhaba,Abohar,4,20,200,North Indian,2.21E+13,https://www.swiggy.com/restaurants/bihari-da-vaishno-dhaba-central-nanak-nagri-abohar-161405,"Bihari da vaishno dhaba, hanumangarh road mahavir colony lajpat nagar abohar",Menu/161405.json
224008,Sharma Bakery,Adilabad,3.5,20,100,Bakery,3.02E+13,https://www.swiggy.com/restaurants/sharma-bakery-city-mahalaxmiwada-adilabad-224008,"Sharma Bakery, Near Kumar Janta Ganesh Mandal, Kumar Pet Adilabad",Menu/224008.json
165533,IFC Restaurant,Adilabad,3.5,100,400,American,1.36E+13,https://www.swiggy.com/restaurants/ifc-restaurant-mahalaxmiwada-adilabad-165533,"IFC Restaurant, Jagadamba Towers, Gandhi Printing Press, Adilabad",Menu/165533.json
225827,Ayappa Fast Food,Adilabad,3.6,20,100,Chinese,license,https://www.swiggy.com/restaurants/ayappa-fast-food-city-ravindra-nagar-colony-adilabad-225827,"Ayappa Fast Food,  opp-little star high school, ravindra nagar colony,, Adilabad - 504001",Menu/225827.json
242943,Hot N Chill Restaurant,Adilabad,3.5,100,150,"European,Italian",1.36E+13,https://www.swiggy.com/restaurants/hot-n-chill-restaurant-city-bhuktapur-adilabad-242943,"Hot N Chill Restaurant, H NO 4 -4 -703 BHUKTHAPUR,ADILABAD 504001",Menu/242943.json
